"","Ahmedabad","Amreli","Anand","Aravalli","Banaskantha","Bharuch","Bhavnagar","Botad","Chhota Udaipur","Dahod","Dang","Devbhumi Dwarka","Gandhinagar","Gir Somnath","Jamnagar","Junagadh","Kheda","Kutch","Mahisagar","Mehsana","Morbi","Narmada","Navsari","Other State","Panchmahal","Patan","Porbandar","Rajkot","Sabarkantha","Surat","Surendranagar","Tapi","Vadodara","Valsad"
"2020-04-15",77,0,7,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,6,0,9,0,0,8,0
"2020-04-16",95,0,8,1,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,1,0,0,4,0,37,0,0,7,0
"2020-04-17",78,0,1,0,2,8,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,1,0,0,0,52,0,0,16,0
"2020-04-18",239,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,13,0,0,14,0
"2020-04-19",239,0,1,0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,89,0,0,22,0
"2020-04-20",147,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,2,0,27,0,0,8,0
"2020-04-21",125,0,0,5,5,1,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,1,78,0,1,11,3
"2020-04-22",128,0,2,5,1,0,0,2,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,68,0,0,9,0
"2020-04-23",151,0,3,1,0,5,1,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,41,0,0,7,1
"2020-04-24",169,0,3,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,5,1
"2020-04-25",182,0,5,0,11,0,5,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,34,1,0,7,0
"2020-04-26",178,0,8,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,0,30,0,0,4,0
"2020-04-27",198,0,2,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,30,0,0,6,0
"2020-04-28",164,0,9,0,0,2,1,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,0,15,0
"2020-04-29",234,0,11,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,3,0,4,0,0,3,0,31,0,0,15,0
"2020-04-30",249,0,3,1,0,0,4,0,0,1,0,0,10,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,13,0,0,19,0
"2020-05-01",267,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,3,1,0,0,0,30,0,0,19,0
"2020-05-02",250,0,0,0,0,0,6,6,1,1,0,0,18,0,0,0,3,0,6,0,0,0,2,0,1,3,0,0,0,17,0,1,17,1
"2020-05-03",274,0,0,1,7,0,0,3,0,1,0,3,3,0,0,0,0,0,10,21,0,0,0,0,0,1,0,0,0,25,0,0,25,0
"2020-05-04",259,0,1,0,3,0,21,3,0,6,0,0,7,0,3,0,3,0,3,0,0,0,0,0,7,0,0,3,2,20,0,0,35,0
"2020-05-05",349,0,0,2,10,0,2,8,0,0,0,0,2,0,0,2,4,0,4,10,0,0,0,0,4,2,0,1,4,17,0,0,20,0
"2020-05-06",291,0,1,0,15,0,6,7,0,2,0,0,4,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,1,31,0,0,16,0
"2020-05-07",275,0,0,25,3,0,1,0,0,4,0,1,5,0,4,0,3,0,0,0,0,0,0,1,0,0,0,2,0,45,0,0,19,0
"2020-05-08",269,0,1,20,8,0,1,3,0,0,0,0,9,1,7,0,7,0,1,0,0,0,0,0,6,0,0,0,7,25,0,0,25,0
"2020-05-09",280,0,0,4,2,0,10,2,0,1,0,0,22,0,7,0,2,0,1,0,0,0,0,0,2,0,0,2,0,30,0,0,28,0
"2020-05-10",278,0,1,2,4,0,0,3,0,0,0,0,10,8,3,0,0,1,0,8,1,0,0,0,2,3,0,0,6,41,2,0,25,0
"2020-05-11",268,0,2,1,0,0,1,0,0,0,0,0,10,0,3,1,0,0,0,2,0,1,0,0,4,0,0,0,3,19,0,0,29,0
"2020-05-12",267,0,0,1,0,1,2,0,3,0,0,1,3,5,1,0,3,6,2,7,0,0,0,0,0,2,0,0,1,30,0,0,27,0
"2020-05-13",292,1,0,1,1,0,3,0,0,0,0,7,0,1,3,1,1,0,1,8,0,0,0,0,1,2,0,0,0,23,0,0,18,0
"2020-05-14",265,0,2,0,1,0,3,0,4,0,0,0,4,4,0,0,0,0,0,6,0,0,0,0,2,3,1,0,0,16,0,0,13,0
"2020-05-15",261,0,0,1,0,0,0,0,0,0,0,0,11,1,1,0,1,0,1,0,0,0,0,0,0,1,0,12,2,32,1,0,15,0
"2020-05-16",973,0,0,0,0,0,4,0,0,2,0,0,6,0,0,1,6,0,0,2,0,0,0,0,1,3,0,1,3,34,0,0,19,2
"2020-05-17",276,1,1,1,0,0,1,0,0,2,0,0,5,2,1,1,6,14,0,0,0,0,0,0,2,4,1,0,6,45,0,0,21,1
"2020-05-18",263,0,0,3,0,0,4,0,0,4,0,0,12,0,0,3,1,3,2,0,0,0,0,0,0,7,0,1,1,33,1,0,22,6
"2020-05-19",262,0,0,1,3,4,2,0,1,0,0,0,10,3,7,3,4,21,3,5,0,0,0,0,0,4,0,2,7,29,5,1,18,0
"2020-05-20",271,0,2,4,2,1,0,0,0,1,0,0,3,0,1,1,2,5,15,0,0,0,3,1,0,15,0,0,3,37,3,0,26,2
"2020-05-21",233,0,0,7,11,0,0,0,0,3,0,0,5,6,3,2,1,4,9,13,0,2,3,3,1,1,0,0,3,34,3,0,24,0
"2020-05-22",275,0,2,0,0,0,0,0,0,0,0,0,3,4,0,3,3,3,0,2,0,0,0,0,0,0,0,1,11,29,5,0,21,1
"2020-05-23",277,2,3,5,0,0,0,0,0,0,0,0,9,6,0,8,2,0,2,4,1,0,1,0,0,2,1,4,0,29,2,3,35,0
"2020-05-24",279,0,1,1,0,0,1,0,0,4,0,0,11,0,1,0,3,0,2,2,0,0,0,2,2,0,0,5,14,35,0,0,30,1
"2020-05-25",310,2,2,0,0,0,2,1,0,0,0,0,4,0,0,0,1,0,7,1,0,3,1,1,3,1,1,1,12,31,2,0,18,1
"2020-05-26",251,1,0,2,3,0,2,0,0,0,0,0,7,0,5,1,0,2,3,1,0,0,2,0,1,1,0,1,8,36,0,0,31,3
"2020-05-27",256,1,2,0,0,0,1,1,1,0,0,0,5,0,0,0,0,2,14,1,0,0,4,2,1,2,1,3,0,34,6,0,29,10
"2020-05-28",247,0,2,1,1,0,0,1,1,0,0,0,4,1,0,1,1,7,8,1,1,0,1,0,2,1,0,7,0,44,1,0,33,1
"2020-05-29",253,0,0,1,1,1,0,0,7,0,0,0,8,0,0,1,12,0,1,7,0,0,2,1,1,0,0,1,1,45,1,0,34,1
"2020-05-30",284,1,2,6,3,0,1,0,2,0,0,0,12,0,2,0,0,0,1,0,0,0,0,2,3,2,1,3,3,55,0,0,28,0
"2020-05-31",299,1,0,1,4,2,0,0,0,0,0,1,13,0,0,1,3,0,0,2,0,0,0,2,3,1,1,4,2,55,5,0,34,4
"2020-06-01",314,0,2,1,3,0,1,0,0,0,0,0,11,0,0,0,0,0,1,6,0,0,0,2,1,1,2,3,3,39,1,0,31,1
"2020-06-02",279,0,0,0,1,4,4,0,0,4,0,0,15,0,0,0,3,0,0,5,0,1,1,0,2,1,0,0,0,58,2,0,32,1
"2020-06-03",290,0,1,2,10,3,4,0,0,1,0,0,39,0,0,1,5,0,0,4,0,0,2,0,3,5,0,2,1,77,1,0,34,0
"2020-06-04",291,0,4,4,6,1,2,1,0,4,0,1,21,0,1,0,4,0,0,9,0,4,0,8,3,0,0,2,4,81,1,0,39,0
"2020-06-05",324,4,0,1,1,3,4,0,1,0,2,1,21,0,6,1,3,0,0,9,0,0,1,0,0,6,0,1,1,67,3,0,45,5
"2020-06-06",289,0,2,2,4,3,2,0,3,0,0,0,20,2,0,0,2,2,0,6,0,0,2,0,4,6,0,8,5,92,0,0,34,7
"2020-06-07",318,1,3,1,6,2,2,0,0,1,0,0,19,0,0,0,4,1,0,6,0,0,1,2,0,5,0,3,0,64,4,0,35,2
"2020-06-08",346,1,0,4,2,2,3,0,0,0,0,0,4,1,5,4,1,1,0,1,0,0,2,2,4,0,0,0,5,48,6,0,35,0
"2020-06-09",331,3,4,1,1,2,3,0,0,0,0,0,8,0,0,1,3,1,0,1,0,0,1,1,3,3,0,2,5,62,0,0,32,2
"2020-06-10",343,0,4,4,0,2,8,0,1,0,0,0,2,0,2,2,6,2,0,4,2,0,0,3,1,1,2,5,4,73,4,0,35,0
"2020-06-11",330,0,5,2,2,7,3,0,1,2,0,0,11,1,3,3,2,2,0,5,0,1,0,2,1,0,0,2,2,86,1,0,39,0
"2020-06-12",327,2,0,1,1,5,2,4,0,0,0,0,5,0,2,0,0,4,0,7,0,1,4,0,3,2,0,5,2,77,4,0,37,0
"2020-06-13",344,3,1,5,2,4,7,1,1,0,0,0,9,1,3,1,2,4,1,6,0,5,0,6,5,3,0,3,0,59,0,4,40,0
"2020-06-14",334,3,3,6,1,6,3,1,0,0,0,0,8,0,0,0,2,0,3,2,0,1,0,5,1,2,0,1,2,76,6,0,42,0
"2020-06-15",327,1,1,2,1,9,0,1,0,0,0,0,15,0,9,4,1,1,0,2,0,1,1,3,7,3,0,8,4,64,3,0,44,2
"2020-06-16",332,4,2,4,2,6,1,1,0,0,0,1,22,0,3,0,2,3,0,3,1,0,0,2,5,3,0,10,2,71,3,0,41,0
"2020-06-17",330,2,4,2,2,7,4,1,0,1,0,2,16,3,6,5,4,0,1,3,1,1,1,4,0,4,0,4,1,65,2,0,44,0
"2020-06-18",317,2,6,5,3,9,4,1,0,0,0,0,11,0,7,1,1,0,0,0,1,1,3,2,2,5,0,1,2,82,1,0,43,0
"2020-06-19",312,0,1,7,1,9,2,0,1,2,0,0,9,0,9,4,2,4,1,12,0,4,1,0,1,8,0,5,2,93,2,0,45,3
"2020-06-20",306,4,4,3,3,12,9,1,0,0,0,1,8,0,7,0,2,1,2,4,1,8,3,0,1,3,0,4,0,103,4,0,43,2
"2020-06-21",273,4,4,9,3,10,8,1,0,1,0,1,15,0,8,2,1,0,0,2,0,0,0,0,4,4,0,4,3,176,1,0,41,5
"2020-06-22",314,2,6,0,1,5,3,2,0,0,0,0,7,2,10,7,3,1,2,4,0,7,1,0,1,3,0,1,2,132,1,0,44,2
"2020-06-23",235,1,2,3,0,11,8,2,2,1,0,0,10,3,12,0,0,15,4,5,0,6,4,1,4,2,0,2,2,175,7,0,42,4
"2020-06-24",215,4,9,7,1,10,5,1,3,1,0,0,7,5,13,4,0,5,3,4,0,9,6,0,9,3,0,13,1,172,9,0,45,5
"2020-06-25",238,3,7,2,0,9,5,1,0,1,0,0,15,4,14,4,0,5,0,4,1,11,5,0,6,2,0,14,2,164,2,0,44,8
"2020-06-26",219,5,8,1,0,16,8,2,2,2,0,0,14,0,9,2,4,3,1,7,2,6,4,5,4,8,0,13,1,182,6,0,45,0
"2020-06-27",211,3,11,5,1,8,14,2,7,2,0,0,9,2,7,4,3,11,1,16,3,3,21,1,5,2,0,12,7,184,7,0,47,5
"2020-06-28",211,10,3,4,7,7,8,3,0,0,0,0,11,1,2,10,6,10,0,8,4,1,4,13,2,11,2,10,3,182,10,0,44,36
"2020-06-29",236,10,11,6,1,8,5,1,0,0,0,2,2,3,6,3,7,2,0,10,0,0,2,8,3,20,0,13,1,206,9,0,50,1
"2020-06-30",197,3,14,5,1,8,8,4,0,0,0,1,16,3,18,8,6,9,2,7,2,1,2,1,5,11,3,6,4,199,4,0,52,20
"2020-07-01",215,3,8,3,12,15,6,2,2,2,0,0,16,1,18,7,9,3,2,10,4,1,24,0,5,2,0,15,5,201,12,0,57,15
"2020-07-02",211,7,3,4,12,10,14,3,3,3,0,1,7,3,11,13,5,5,1,9,3,0,4,0,4,10,1,26,3,227,12,0,57,8
"2020-07-03",204,0,9,1,8,13,21,2,0,1,0,1,16,1,13,26,14,5,7,5,2,3,6,0,13,11,1,10,5,204,14,2,62,6
"2020-07-04",172,2,4,7,10,15,20,2,0,1,0,1,15,4,8,10,10,7,2,8,3,0,11,0,2,6,0,47,6,253,6,0,61,19
"2020-07-05",177,1,0,5,8,15,16,3,1,8,0,1,11,4,6,13,12,2,3,9,5,1,3,0,6,11,0,42,8,254,9,9,64,18
"2020-07-06",183,7,1,2,24,18,35,2,3,5,0,0,17,2,7,15,9,11,2,12,4,0,8,0,8,3,0,21,8,241,5,4,65,13
"2020-07-07",187,6,10,4,12,15,21,1,2,6,0,1,18,3,10,13,11,14,7,15,5,1,13,0,4,5,0,40,2,249,11,3,68,21
"2020-07-08",156,7,5,2,15,16,19,1,1,18,3,0,19,4,9,11,3,10,4,15,11,4,14,0,1,4,0,39,8,273,16,1,67,27
"2020-07-09",162,8,11,5,18,19,23,6,4,13,0,0,32,9,11,19,17,5,0,17,4,1,16,0,3,5,1,20,11,307,10,8,68,28
"2020-07-10",165,3,7,2,14,14,71,2,4,8,0,0,31,11,23,18,17,4,0,21,5,0,27,0,7,4,1,39,8,269,23,3,69,5
"2020-07-11",178,4,8,4,12,23,49,2,1,3,0,1,28,8,11,24,20,10,6,19,7,7,17,0,5,5,1,41,9,270,10,0,72,17
"2020-07-12",172,16,11,2,13,14,46,5,3,9,0,0,29,6,6,42,16,7,1,23,19,0,11,0,10,4,0,46,3,251,21,2,75,16
"2020-07-13",164,29,9,3,12,15,40,2,3,16,0,0,25,0,13,46,19,7,5,12,9,0,19,0,3,10,4,34,7,287,26,1,74,8
"2020-07-14",167,2,10,1,21,28,45,2,3,19,0,0,26,7,18,25,15,7,9,21,5,4,10,0,8,9,2,24,8,291,31,7,76,14
"2020-07-15",173,14,8,4,11,14,61,4,0,12,0,0,30,10,13,43,24,14,9,17,14,6,8,0,6,9,0,54,9,236,32,3,77,10
